date,p10,p25,p50,p75,p90
2025-04-04,0.222178,0.284300,0.284300,0.412598,0.493628
2025-04-05,0.222178,0.284300,0.284300,0.412598,0.499705
2025-04-06,0.222178,0.284300,0.284300,0.412598,0.500380
2025-04-07,0.222178,0.278223,0.282950,0.412598,0.501055
2025-04-08,0.220827,0.278223,0.283625,0.412598,0.502406
2025-04-09,0.220152,0.278223,0.284300,0.412598,0.502406
2025-04-10,0.218801,0.278223,0.285313,0.412598,0.502406
2025-04-11,0.218126,0.278223,0.285313,0.412598,0.502406
2025-04-12,0.218126,0.278223,0.287001,0.412598,0.501731
2025-04-13,0.220827,0.278223,0.289027,0.412598,0.501731
2025-04-14,0.220827,0.278223,0.291053,0.412598,0.501731
2025-04-15,0.220827,0.278223,0.292066,0.412598,0.501731
2025-04-16,0.220827,0.278223,0.293923,0.412598,0.501731
2025-04-17,0.220827,0.278223,0.294767,0.412598,0.501731
2025-04-18,0.220827,0.278223,0.295611,0.412598,0.501731
2025-04-19,0.220827,0.278223,0.297130,0.412598,0.503081
2025-04-20,0.220827,0.278223,0.298481,0.412598,0.504432
2025-04-21,0.220827,0.278223,0.298481,0.412598,0.505782
2025-04-22,0.220827,0.278223,0.300506,0.412598,0.508483
2025-04-23,0.221502,0.278223,0.305064,0.418337,0.511522
2025-04-24,0.222178,0.278223,0.306246,0.418675,0.513210
2025-04-25,0.222515,0.278223,0.306246,0.418675,0.514223
2025-04-26,0.222853,0.277548,0.304896,0.418675,0.515911
2025-04-27,0.222853,0.274509,0.303714,0.418675,0.517261
2025-04-28,0.222853,0.270795,0.302195,0.418675,0.518612
2025-04-29,0.222178,0.267082,0.301350,0.418675,0.521650
2025-04-30,0.222178,0.262693,0.299494,0.418675,0.524689
2025-05-01,0.222178,0.258979,0.297974,0.418675,0.526377
2025-05-02,0.222178,0.255265,0.297130,0.418675,0.529416
2025-05-03,0.222178,0.251551,0.295949,0.418675,0.530429
2025-05-04,0.222178,0.249863,0.295780,0.418675,0.531441
2025-05-05,0.222853,0.249863,0.300506,0.418675,0.532792
2025-05-06,0.222853,0.249863,0.301182,0.418675,0.533467
2025-05-07,0.222178,0.249863,0.304051,0.418675,0.533467
2025-05-08,0.222178,0.249863,0.310973,0.419350,0.534818
2025-05-09,0.222178,0.249863,0.319920,0.420701,0.536168
2025-05-10,0.222178,0.249863,0.328867,0.421376,0.538194
2025-05-11,0.222178,0.252901,0.337814,0.426778,0.539544
2025-05-12,0.222178,0.256615,0.347099,0.430154,0.540895
2025-05-13,0.222853,0.260667,0.356383,0.433868,0.540895
2025-05-14,0.222853,0.265056,0.366850,0.437244,0.540895
2025-05-15,0.222853,0.268770,0.376472,0.441633,0.542245
2025-05-16,0.222853,0.272484,0.385925,0.446698,0.542245
2025-05-17,0.222853,0.276197,0.395041,0.449736,0.542245
2025-05-18,0.222853,0.277886,0.401963,0.452775,0.542921
2025-05-19,0.222853,0.278223,0.401456,0.453113,0.542921
2025-05-20,0.222853,0.278223,0.404832,0.452775,0.542921
2025-05-21,0.222853,0.278223,0.405845,0.448386,0.542921
2025-05-22,0.222853,0.278223,0.404157,0.447711,0.542921
2025-05-23,0.222853,0.278223,0.403819,0.447711,0.542245
2025-05-24,0.222853,0.278223,0.401287,0.447711,0.542245
2025-05-25,0.222853,0.278223,0.397067,0.443659,0.542245
2025-05-26,0.222853,0.277548,0.391834,0.440114,0.542245
2025-05-27,0.222178,0.274847,0.384913,0.437582,0.542245
2025-05-28,0.222178,0.271808,0.377147,0.434543,0.542245
2025-05-29,0.222178,0.268095,0.369719,0.430154,0.542245
2025-05-30,0.222178,0.265056,0.362292,0.425090,0.542245
2025-05-31,0.222178,0.262693,0.354864,0.422051,0.542245
2025-06-01,0.222178,0.259654,0.348280,0.419013,0.542245
2025-06-02,0.222178,0.256615,0.343722,0.418675,0.542245
2025-06-03,0.222178,0.254927,0.338658,0.418675,0.542245
2025-06-04,0.222178,0.252564,0.332581,0.418000,0.542245
2025-06-05,0.222178,0.248850,0.327516,0.416649,0.541570
2025-06-06,0.222178,0.244461,0.321102,0.415974,0.540220
2025-06-07,0.222178,0.240747,0.314349,0.414623,0.538869
2025-06-08,0.222178,0.237033,0.309960,0.413948,0.538194
2025-06-09,0.222178,0.233319,0.307428,0.412935,0.537519
2025-06-10,0.222178,0.232306,0.306246,0.412598,0.536843
2025-06-11,0.222178,0.231631,0.306246,0.412598,0.536843
2025-06-12,0.222178,0.231631,0.305571,0.412598,0.535493
2025-06-13,0.222178,0.230956,0.305233,0.412598,0.534818
2025-06-14,0.222178,0.229605,0.305233,0.412598,0.533130
2025-06-15,0.222178,0.228930,0.305233,0.412598,0.532792
2025-06-16,0.222178,0.227917,0.307934,0.414961,0.531441
2025-06-17,0.222178,0.225554,0.310635,0.417324,0.530091
2025-06-18,0.222178,0.224879,0.310973,0.419350,0.530091
2025-06-19,0.222178,0.224879,0.311310,0.421376,0.530766
2025-06-20,0.222178,0.224879,0.314687,0.423739,0.532454
2025-06-21,0.222178,0.224879,0.317725,0.426103,0.534142
2025-06-22,0.222178,0.224879,0.321102,0.428466,0.534142
2025-06-23,0.222178,0.224879,0.324140,0.430829,0.534818
2025-06-24,0.222178,0.224879,0.323634,0.432855,0.534480
2025-06-25,0.222178,0.224879,0.322114,0.434881,0.533467
2025-06-26,0.222178,0.224879,0.321777,0.437244,0.533467
2025-06-27,0.222178,0.224879,0.325491,0.439608,0.534142
2025-06-28,0.222178,0.224879,0.331905,0.441633,0.536168
2025-06-29,0.222178,0.225554,0.338658,0.443659,0.536168
2025-06-30,0.222178,0.229268,0.344398,0.444334,0.536843
2025-07-01,0.222178,0.232982,0.349462,0.445010,0.536843
2025-07-02,0.222178,0.236695,0.355708,0.445685,0.536843
2025-07-03,0.222178,0.240409,0.361279,0.446360,0.536168
2025-07-04,0.222178,0.244123,0.366174,0.446360,0.536168
2025-07-05,0.222853,0.247837,0.371408,0.446360,0.535493
2025-07-06,0.223528,0.252226,0.376303,0.446360,0.534818
2025-07-07,0.225891,0.256278,0.382549,0.449061,0.534142
2025-07-08,0.227580,0.259992,0.390315,0.449736,0.534142
2025-07-09,0.228255,0.263705,0.399262,0.449736,0.535155
2025-07-10,0.229605,0.267419,0.407196,0.449736,0.535493
2025-07-11,0.230281,0.271133,0.412598,0.449736,0.535493
2025-07-12,0.231631,0.274847,0.413273,0.449736,0.534818
2025-07-13,0.233657,0.277886,0.413273,0.449736,0.534142
2025-07-14,0.235683,0.278223,0.412260,0.449736,0.533467
2025-07-15,0.239396,0.278223,0.406689,0.449061,0.532792
2025-07-16,0.243110,0.278223,0.401456,0.447711,0.532117
2025-07-17,0.245474,0.278223,0.400443,0.447711,0.531441
2025-07-18,0.248512,0.278223,0.400106,0.447711,0.530766
2025-07-19,0.250200,0.278223,0.399430,0.447711,0.530091
2025-07-20,0.250538,0.278223,0.399430,0.447035,0.530091
2025-07-21,0.249863,0.278223,0.398924,0.445010,0.530766
2025-07-22,0.249188,0.278223,0.398417,0.444334,0.531441
2025-07-23,0.248512,0.278223,0.398080,0.444334,0.531441
2025-07-24,0.248512,0.278223,0.397405,0.444334,0.532454
2025-07-25,0.249525,0.278223,0.397405,0.444334,0.534649
2025-07-26,0.249188,0.278223,0.397405,0.444334,0.539544
2025-07-27,0.248175,0.278223,0.397067,0.444334,0.542583
2025-07-28,0.247837,0.278223,0.398080,0.444334,0.547647
2025-07-29,0.246824,0.278223,0.403482,0.444334,0.552374
2025-07-30,0.246487,0.278223,0.408209,0.444334,0.557101
2025-07-31,0.246824,0.278223,0.409390,0.444334,0.562165
2025-08-01,0.247162,0.278223,0.409897,0.444334,0.567230
2025-08-02,0.247162,0.278223,0.409897,0.444334,0.572632
2025-08-03,0.248850,0.278223,0.409559,0.444334,0.577021
2025-08-04,0.251213,0.278223,0.409559,0.444334,0.580735
2025-08-05,0.252901,0.278223,0.409559,0.444334,0.584449
2025-08-06,0.255940,0.278223,0.409897,0.444334,0.592214
2025-08-07,0.258303,0.278561,0.411247,0.446698,0.592214
2025-08-08,0.259992,0.278898,0.412260,0.449061,0.594240
2025-08-09,0.263030,0.279574,0.412935,0.449061,0.594240
2025-08-10,0.266069,0.279574,0.413611,0.449061,0.594240
2025-08-11,0.267757,0.280249,0.413611,0.449061,0.594240
2025-08-12,0.268770,0.280924,0.413273,0.449061,0.594240
2025-08-13,0.270120,0.281599,0.413611,0.449061,0.594915
2025-08-14,0.270120,0.282950,0.413611,0.449061,0.594915
